file_name,signal_type,chunk_index,value,avg_uncertainty,pair_id,author_A,author_B
Bamidbar_CH1,regular,0,0.6350337266921997,0.005030934698879719,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,weighted,0,0.635036826133728,0.005030934698879719,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,regular,1,0.6464589834213257,0.005387498531490564,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,weighted,1,0.6464521288871765,0.005387498531490564,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,regular,2,0.6449845433235168,0.006334058940410614,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,weighted,2,0.6449857354164124,0.006334058940410614,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,regular,3,0.6398800611495972,0.006451782770454884,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,weighted,3,0.6398808360099792,0.006451782770454884,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,regular,4,0.6423816680908203,0.005594407673925161,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH1,weighted,4,0.6423813104629517,0.005594407673925161,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH10,regular,0,0.6346544623374939,0.004942126106470823,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH10,weighted,0,0.6346526741981506,0.004942126106470823,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH10,regular,1,0.6008909344673157,0.005582427140325308,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH10,weighted,1,0.6009161472320557,0.005582427140325308,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH10,regular,2,0.6215310096740723,0.00536686833947897,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH10,weighted,2,0.6215277910232544,0.00536686833947897,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,regular,0,0.6164305210113525,0.005554304923862219,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,weighted,0,0.6164311766624451,0.005554304923862219,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,regular,1,0.6688487529754639,0.005660564173012972,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,weighted,1,0.6688493490219116,0.005660564173012972,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,regular,2,0.6860560774803162,0.005514000542461872,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,weighted,2,0.686055600643158,0.005514000542461872,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,regular,3,0.6738312244415283,0.006180691532790661,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,weighted,3,0.6738482713699341,0.006180691532790661,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,regular,4,0.6389108896255493,0.0059800343587994576,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH11,weighted,4,0.6389144659042358,0.0059800343587994576,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH12,regular,0,0.6408412456512451,0.006743438541889191,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH12,weighted,0,0.6408424377441406,0.006743438541889191,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH13,regular,0,0.6091824769973755,0.006400607526302338,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH13,weighted,0,0.6092113852500916,0.006400607526302338,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH13,regular,1,0.6581103801727295,0.005689472891390324,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH13,weighted,1,0.6581214666366577,0.005689472891390324,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH13,regular,2,0.6709380745887756,0.0049675228074193,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH13,weighted,2,0.670943021774292,0.0049675228074193,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,regular,0,0.6723668575286865,0.005141769535839558,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,weighted,0,0.6723662614822388,0.005141769535839558,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,regular,1,0.6485954523086548,0.005373154301196337,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,weighted,1,0.6485956907272339,0.005373154301196337,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,regular,2,0.6471439599990845,0.005476569756865501,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,weighted,2,0.6471452713012695,0.005476569756865501,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,regular,3,0.657823920249939,0.0052140941843390465,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,weighted,3,0.6578196287155151,0.0052140941843390465,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,regular,4,0.6888547539710999,0.00532161071896553,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,weighted,4,0.688854455947876,0.00532161071896553,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,regular,5,0.6776185631752014,0.004849213175475597,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH14,weighted,5,0.6776154637336731,0.004849213175475597,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH15,regular,0,0.6517627239227295,0.005329588893800974,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH15,weighted,0,0.6517772674560547,0.005329588893800974,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
Bamidbar_CH15,regular,1,0.6568448543548584,0.006219551898539066,57_משה חיים לוצאטו_VS_ברכיה הנקדן,משה חיים לוצאטו,ברכיה הנקדן
