Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bamidbar_CH1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Bamidbar_CH10,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
Bamidbar_CH11,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1
Bamidbar_CH13,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1
Bamidbar_CH14,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Bamidbar_CH15,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1
Bamidbar_CH16,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
Bamidbar_CH17,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1
Bamidbar_CH18,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Bamidbar_CH19,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
Bamidbar_CH2,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1
Bamidbar_CH20,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Bamidbar_CH21,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1
Bamidbar_CH22,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Bamidbar_CH23,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
Bamidbar_CH24,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Bamidbar_CH25,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Bamidbar_CH26,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
Bamidbar_CH27,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
Bamidbar_CH28,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Bamidbar_CH29,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1
Bamidbar_CH3,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Bamidbar_CH30,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1
Bamidbar_CH31,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1
Bamidbar_CH32,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Bamidbar_CH33,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1
Bamidbar_CH34,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
Bamidbar_CH35,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
Bamidbar_CH36,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1
Bamidbar_CH4,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1
Bamidbar_CH5,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1
Bamidbar_CH6,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
Bamidbar_CH7,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1
Bamidbar_CH8,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Bamidbar_CH9,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1
Beereshit_CH1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
Beereshit_CH10,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Beereshit_CH11,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
Beereshit_CH12,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
Beereshit_CH13,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1
Beereshit_CH14,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1
Beereshit_CH15,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1
Beereshit_CH16,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Beereshit_CH17,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1
Beereshit_CH18,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1
Beereshit_CH19,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1
Beereshit_CH2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1
Beereshit_CH20,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1
Beereshit_CH21,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1
Beereshit_CH22,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1
Beereshit_CH23,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1
Beereshit_CH24,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1
Beereshit_CH25,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1
Beereshit_CH26,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1
Beereshit_CH27,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1
Beereshit_CH28,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1
Beereshit_CH29,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1
Beereshit_CH3,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1
Beereshit_CH30,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1
Beereshit_CH31,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1
Beereshit_CH32,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1
Beereshit_CH33,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1
Beereshit_CH34,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
Beereshit_CH35,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1
Beereshit_CH36,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
Beereshit_CH37,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1
Beereshit_CH38,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Beereshit_CH39,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1
Beereshit_CH4,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
Beereshit_CH40,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
Beereshit_CH41,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1
Beereshit_CH42,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
Beereshit_CH43,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1
Beereshit_CH44,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1
Beereshit_CH45,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1
Beereshit_CH46,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1
Beereshit_CH47,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1
Beereshit_CH48,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1
Beereshit_CH49,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
Beereshit_CH5,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1
Beereshit_CH50,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1
Beereshit_CH6,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Beereshit_CH7,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
Beereshit_CH8,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
Beereshit_CH9,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1
Dvarim_CH1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1
Dvarim_CH10,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1
Dvarim_CH11,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1
Dvarim_CH12,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Dvarim_CH13,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
Dvarim_CH14,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
Dvarim_CH15,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1
Dvarim_CH16,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Dvarim_CH17,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1
Dvarim_CH18,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1
Dvarim_CH19,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
Dvarim_CH2,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1
Dvarim_CH20,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
Dvarim_CH21,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Dvarim_CH22,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1
Dvarim_CH23,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1
Dvarim_CH24,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1
Dvarim_CH25,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1
Dvarim_CH26,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Dvarim_CH27,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1
Dvarim_CH28,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1
Dvarim_CH29,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1
Dvarim_CH3,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
Dvarim_CH30,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Dvarim_CH31,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
Dvarim_CH32,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0
Dvarim_CH33,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
Dvarim_CH4,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
Dvarim_CH5,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Dvarim_CH6,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Dvarim_CH7,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
Dvarim_CH8,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1
Dvarim_CH9,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
Shmot_CH1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
Shmot_CH10,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1
Shmot_CH12,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1
Shmot_CH13,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
Shmot_CH14,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Shmot_CH15,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Shmot_CH16,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
Shmot_CH17,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
Shmot_CH18,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1
Shmot_CH19,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
Shmot_CH2,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1
